,noc_s2006_code,noc_s2006_title,noc_s2006_status,noc_2011_p,noc_2011_code,noc_2011_title,noc_2011_notes
6,A011,Legislators,NU, ,0011,Legislators, 
7,A011,Legislators,NU,*,0012,Senior government managers and officials,Territorial commissioners
8,A012,Senior government managers and officials,NU,*,0012,Senior government managers and officials,Except territorial commissioners
9,A013,"Senior managers - financial, communications and other business services",NC, ,0013,"Senior managers - financial, communications and other business services", 
10,A014,"Senior managers - health, education, social and community services and membership organizations",NU,*,0014,"Senior managers - health, education, social and community services and membership organizations",Except hockey association general managers and automobile association executive directors
11,A015,"Senior managers - trade, broadcasting and other services, n.e.c.",NU,*,0014,"Senior managers - health, education, social and community services and membership organizations",Hockey association general managers and automobile association executive directors
12,A015,"Senior managers - trade, broadcasting and other services, n.e.c.",NU, ,0015,"Senior managers - trade, broadcasting and other services, n.e.c.", 
13,A016,"Senior managers - goods production, utilities, transportation and construction",NC/T, ,0016,"Senior managers - construction, transportation, production and utilities", 
19,A111,Financial managers,NC, ,0111,Financial managers, 
20,A112,Human resources managers,NC, ,0112,Human resources managers, 
21,A113,Purchasing managers,NC, ,0113,Purchasing managers, 
22,A114,Other administrative services managers,NC, ,0114,Other administrative services managers, 
24,A121,Engineering managers,NC, ,0211,Engineering managers, 
25,A122,Computer and information systems managers,NC, ,0213,Computer and information systems managers, 
26,A123,Architecture and science managers,NC, ,0212,Architecture and science managers, 
31,A131,"Sales, marketing and advertising managers",NU,*,0124,"Advertising, marketing and public relations managers",Except advertising agency managers and advertising and marketing managers in retail trade
32,A131,"Sales, marketing and advertising managers",NU,*,0601,Corporate sales managers,Except corporate sales managers in retail trade
33,A131,"Sales, marketing and advertising managers",NU,*,0621,Retail and wholesale trade managers,Wholesale trade managers
34,A131,"Sales, marketing and advertising managers",NU,*,1123,"Professional occupations in advertising, marketing and public relations",Advertising account managers
37,A141,Facility operation and maintenance managers,NU, ,0714,Facility operation and maintenance managers, 
38,A141,Facility operation and maintenance managers,NU,*,0731,Managers in transportation,Distribution services managers
41,A211,Retail trade managers,NU,*,0124,"Advertising, marketing and public relations managers",Advertising and marketing managers in retail trade
42,A211,Retail trade managers,NU,*,0601,Corporate sales managers,Corporate sales managers in retail trade
43,A211,Retail trade managers,NU,*,0621,Retail and wholesale trade managers,Retail trade managers
45,A221,Restaurant and food service managers,NC, ,0631,Restaurant and food service managers, 
46,A222,Accommodation service managers,NC, ,0632,Accommodation service managers, 
51,A301,"Insurance, real estate and financial brokerage managers",NC, ,0121,"Insurance, real estate and financial brokerage managers", 
52,A302,"Banking, credit and other investment managers",NC, ,0122,"Banking, credit and other investment managers", 
53,A303,Other business services managers,NU,*,0124,"Advertising, marketing and public relations managers",Advertising agency managers
54,A303,Other business services managers,NU, ,0125,Other business services managers, 
56,A311,Telecommunication carriers managers,NC, ,0131,Telecommunication carriers managers, 
57,A312,Postal and courier services managers,NC, ,0132,Postal and courier services managers, 
60,A321,Managers in health care,NC, ,0311,Managers in health care, 
61,A322,Administrators - post-secondary education and vocational training,NC, ,0421,Administrators - post-secondary education and vocational training, 
62,A323,School principals and administrators of elementary and secondary education,NC, ,0422,School principals and administrators of elementary and secondary education, 
63,A324,"Managers in social, community and correctional services",NC, ,0423,"Managers in social, community and correctional services", 
65,A331,Government managers - health and social policy development and program administration,NC, ,0411,Government managers - health and social policy development and program administration, 
66,A332,"Government managers - economic analysis, policy development and program administration",NC, ,0412,"Government managers - economic analysis, policy development and program administration", 
67,A333,Government managers - education policy development and program administration,NC, ,0413,Government managers - education policy development and program administration, 
68,A334,Other managers in public administration,NC, ,0414,Other managers in public administration, 
70,A341,"Library, archive, museum and art gallery managers",NC, ,0511,"Library, archive, museum and art gallery managers", 
71,A342,"Managers - publishing, motion pictures, broadcasting and performing arts",NC, ,0512,"Managers - publishing, motion pictures, broadcasting and performing arts", 
72,A343,"Recreation, sports and fitness program and service directors",NC, ,0513,"Recreation, sports and fitness program and service directors", 
74,A351,Commissioned police officers,NC, ,0431,Commissioned police officers, 
75,A352,Fire chiefs and senior firefighting officers,NC, ,0432,Fire chiefs and senior firefighting officers, 
76,A353,"Commissioned officers, armed forces",NC/T, ,0433,Commissioned officers of the Canadian Forces, 
78,A361,Other services managers,NC/T, ,0651,"Managers in customer and personal services, n.e.c.", 
81,A371,Construction managers,NC, ,0711,Construction managers, 
82,A372,Residential home builders and renovators,NC/T, ,0712,Home building and renovation managers, 
83,A373,Transportation managers,NU,*,0731,Managers in transportation,Except distribution services managers
85,A381,Primary production managers (except agriculture),NC/T, ,0811,Managers in natural resources production and fishing, 
87,A391,Manufacturing managers,NC, ,0911,Manufacturing managers, 
88,A392,Utilities managers,NC, ,0912,Utilities managers, 
93,B011,Financial auditors and accountants,NC, ,1111,Financial auditors and accountants, 
94,B012,Financial and investment analysts,NC, ,1112,Financial and investment analysts, 
95,B013,"Securities agents, investment dealers and brokers",NC, ,1113,"Securities agents, investment dealers and brokers", 
96,B014,Other financial officers,NC, ,1114,Other financial officers, 
98,B021,Specialists in human resources,NC/T, ,1121,Human resources professionals, 
99,B022,Professional occupations in business services to management,NU, ,1122,Professional occupations in business management consulting, 
100,B022,Professional occupations in business services to management,NU,*,1123,"Professional occupations in advertising, marketing and public relations",Professional occupations in advertising and marketing
105,B111,Bookkeepers,NC/T, ,1311,Accounting technicians and bookkeepers, 
106,B112,Loan officers,NC/T, ,6235,Financial sales representatives, 
107,B113,Insurance adjusters and claims examiners,NC, ,1312,Insurance adjusters and claims examiners, 
108,B114,Insurance underwriters,NC, ,1313,Insurance underwriters, 
109,B115,"Assessors, valuators and appraisers",NC, ,1314,"Assessors, valuators and appraisers", 
110,B116,"Customs, ship and other brokers",NC, ,1315,"Customs, ship and other brokers", 
114,B211,Secretaries (except legal and medical),NU,*,1241,Administrative assistants,Except administrative assistants formerly in General office clerks
115,B212,Legal secretaries,NU,*,1242,Legal administrative assistants,Except legal assistants
116,B213,Medical secretaries,NC/T, ,1243,Medical administrative assistants, 
117,B214,Court recorders and medical transcriptionists,NC/T, ,1251,"Court reporters, medical transcriptionists and related occupations", 
120,B311,Administrative officers,NC, ,1221,Administrative officers, 
121,B312,Executive assistants,NC, ,1222,Executive assistants, 
122,B313,Personnel and recruitment officers,NC/T, ,1223,Human resources and recruitment officers, 
123,B314,Property administrators,NC, ,1224,Property administrators, 
124,B315,Purchasing agents and officers,NC, ,1225,Purchasing agents and officers, 
125,B316,Conference and event planners,NC, ,1226,Conference and event planners, 
126,B317,Court officers and justices of the peace,NC, ,1227,Court officers and justices of the peace, 
127,B318,"Immigration, employment insurance and revenue officers",NC/T, ,1228,"Employment insurance, immigration, border services and revenue officers", 
133,B411,"Supervisors, general office and administrative support clerks",NU, ,1211,"Supervisors, general office and administrative support workers", 
134,B411,"Supervisors, general office and administrative support clerks",NU,*,1213,"Supervisors, library, correspondence and related information workers",Supervisors of regulatory clerks
135,B411,"Supervisors, general office and administrative support clerks",NU,*,1252,Health information management occupations,Medical records unit supervisors
136,B412,"Supervisors, finance and insurance clerks",NU, ,1212,"Supervisors, finance and insurance office workers", 
137,B412,"Supervisors, finance and insurance clerks",NU,*,6314,Customer and information services supervisors,Customer service representatives supervisors - financial services
138,B413,"Supervisors, library, correspondence and related information clerks",NU,*,1213,"Supervisors, library, correspondence and related information workers",Except supervisors of regulatory clerks
139,B413,"Supervisors, library, correspondence and related information clerks",NU,*,6314,Customer and information services supervisors,Customer and information services supervisors (except financial services)
140,B414,"Supervisors, mail and message distribution occupations",NC, ,1214,"Supervisors, mail and message distribution occupations", 
141,B415,"Supervisors, recording, distributing and scheduling occupations",NC/T, ,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations", 
150,B511,General office clerks,NU,*,1241,Administrative assistants,Administrative assistants formerly in General office clerks
151,B511,General office clerks,NU,*,1411,General office support workers,Except filing clerks and office administration clerks
152,B511,General office clerks,NU,*,1454,Survey interviewers and statistical clerks,Meter readers
153,B513,Records management and filing clerks,NU,*,1252,Health information management occupations,Medical records technicians
154,B513,Records management and filing clerks,NU, ,1253,Records management technicians, 
155,B513,Records management and filing clerks,NU,*,1411,General office support workers,Filing clerks
156,B514,Receptionists and switchboard operators,NU,*,1414,Receptionists,Receptionists and switchboard operators
159,B522,Data entry clerks,NC, ,1422,Data entry clerks, 
160,B523,Desktop publishing operators and related occupations,NC, ,1423,Desktop publishing operators and related occupations, 
161,B524,Telephone operators,NU,*,1414,Receptionists,Telephone operators
164,B531,Accounting and related clerks,NC, ,1431,Accounting and related clerks, 
165,B532,Payroll clerks,NC, ,1432,Payroll clerks, 
166,B533,Customer service representatives - financial services,NC/T, ,6551,Customer services representatives - financial institutions, 
167,B534,"Banking, insurance and other financial clerks",NC, ,1434,"Banking, insurance and other financial clerks", 
168,B535,Collectors,NC, ,1435,Collectors, 
171,B541,Administrative clerks,NU,*,1411,General office support workers,Office administration clerks
172,B541,Administrative clerks,NU,*,1452,"Correspondence, publication and regulatory clerks",Regulatory clerks
173,B542,Personnel clerks,NC, ,1415,Personnel clerks, 
174,B543,Court clerks,NC, ,1416,Court clerks, 
177,B551,Library clerks,NU,*,1451,Library assistants and clerks,Except library assistants
178,B552,"Correspondence, publication and related clerks",NU,*,1452,"Correspondence, publication and regulatory clerks",Except regulatory clerks
179,B553,"Customer service, information and related clerks",NC/T, ,6552,Other customer and information services representatives, 
180,B554,Survey interviewers and statistical clerks,NU,*,1454,Survey interviewers and statistical clerks,Except meter readers
182,B561,"Mail, postal and related clerks",NC/T, ,1511,"Mail, postal and related workers", 
183,B562,Letter carriers,NC, ,1512,Letter carriers, 
184,B563,"Couriers, messengers and door-to-door distributors",NC, ,1513,"Couriers, messengers and door-to-door distributors", 
186,B571,Shippers and receivers,NC, ,1521,Shippers and receivers, 
187,B572,Storekeepers and parts clerks,NC/T, ,1522,Storekeepers and partspersons, 
188,B573,Production clerks,NC/T, ,1523,Production logistics co-ordinators, 
189,B574,Purchasing and inventory clerks,NC/T, ,1524,Purchasing and inventory control workers, 
190,B575,Dispatchers and radio operators,NC/T, ,1525,Dispatchers, 
191,B576,Transportation route and crew schedulers,NC, ,1526,Transportation route and crew schedulers, 
197,C011,Physicists and astronomers,NU,*,2111,Physicists and astronomers,Except atmospheric physicist
198,C012,Chemists,NC, ,2112,Chemists, 
199,C013,"Geologists, geochemists and geophysicists",NC/T, ,2113,Geoscientists and oceanographers, 
200,C014,Meteorologists,NU,*,2111,Physicists and astronomers,Atmospheric physicist
201,C014,Meteorologists,NU, ,2114,Meteorologists and climatologists, 
202,C015,Other professional occupations in physical sciences,NC, ,2115,Other professional occupations in physical sciences, 
204,C021,Biologists and related scientists,NC, ,2121,Biologists and related scientists, 
205,C022,Forestry professionals,NC, ,2122,Forestry professionals, 
206,C023,"Agricultural representatives, consultants and specialists",NC, ,2123,"Agricultural representatives, consultants and specialists", 
208,C031,Civil engineers,NC, ,2131,Civil engineers, 
209,C032,Mechanical engineers,NC, ,2132,Mechanical engineers, 
210,C033,Electrical and electronics engineers,NC, ,2133,Electrical and electronics engineers, 
211,C034,Chemical engineers,NC, ,2134,Chemical engineers, 
213,C041,Industrial and manufacturing engineers,NC, ,2141,Industrial and manufacturing engineers, 
214,C042,Metallurgical and materials engineers,NC, ,2142,Metallurgical and materials engineers, 
215,C043,Mining engineers,NC, ,2143,Mining engineers, 
216,C044,Geological engineers,NC, ,2144,Geological engineers, 
217,C045,Petroleum engineers,NC, ,2145,Petroleum engineers, 
218,C046,Aerospace engineers,NC, ,2146,Aerospace engineers, 
219,C047,Computer engineers (except software engineers and designers),NC, ,2147,Computer engineers (except software engineers and designers), 
220,C048,"Other professional engineers, n.e.c.",NC, ,2148,"Other professional engineers, n.e.c.", 
222,C051,Architects,NC, ,2151,Architects, 
223,C052,Landscape architects,NC, ,2152,Landscape architects, 
224,C053,Urban and land use planners,NC, ,2153,Urban and land use planners, 
225,C054,Land surveyors,NC, ,2154,Land surveyors, 
228,C061,"Mathematicians, statisticians and actuaries",NU,*,1254,Statistical officers and related research support occupations,Statistical technicians and statistical officers
229,C061,"Mathematicians, statisticians and actuaries",NU, ,2161,"Mathematicians, statisticians and actuaries", 
231,C071,Information systems analysts and consultants,NC, ,2171,Information systems analysts and consultants, 
232,C072,Database analysts and data administrators,NC, ,2172,Database analysts and data administrators, 
233,C073,Software engineers and designers,NC, ,2173,Software engineers and designers, 
234,C074,Computer programmers and interactive media developers,NC, ,2174,Computer programmers and interactive media developers, 
235,C075,Web designers and developers,NC, ,2175,Web designers and developers, 
239,C111,Chemical technologists and technicians,NC, ,2211,Chemical technologists and technicians, 
240,C112,Geological and mineral technologists and technicians,NC, ,2212,Geological and mineral technologists and technicians, 
241,C113,Meteorological technicians,NU,*,2255,Technical occupations in geomatics and meteorology,Meteorological technicians
243,C121,Biological technologists and technicians,NC, ,2221,Biological technologists and technicians, 
244,C122,Agricultural and fish products inspectors,NC, ,2222,Agricultural and fish products inspectors, 
245,C123,Forestry technologists and technicians,NC, ,2223,Forestry technologists and technicians, 
246,C124,Conservation and fishery officers,NC, ,2224,Conservation and fishery officers, 
247,C125,Landscape and horticulture technicians and specialists,NC, ,2225,Landscape and horticulture technicians and specialists, 
249,C131,Civil engineering technologists and technicians,NC, ,2231,Civil engineering technologists and technicians, 
250,C132,Mechanical engineering technologists and technicians,NC, ,2232,Mechanical engineering technologists and technicians, 
251,C133,Industrial engineering and manufacturing technologists and technicians,NC, ,2233,Industrial engineering and manufacturing technologists and technicians, 
252,C134,Construction estimators,NC, ,2234,Construction estimators, 
254,C141,Electrical and electronics engineering technologists and technicians,NC, ,2241,Electrical and electronics engineering technologists and technicians, 
255,C142,Electronic service technicians (household and business equipment),NC, ,2242,Electronic service technicians (household and business equipment), 
256,C143,Industrial instrument technicians and mechanics,NC, ,2243,Industrial instrument technicians and mechanics, 
257,C144,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",NC, ,2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors", 
259,C151,Architectural technologists and technicians,NC, ,2251,Architectural technologists and technicians, 
260,C152,Industrial designers,NC, ,2252,Industrial designers, 
261,C153,Drafting technologists and technicians,NC, ,2253,Drafting technologists and technicians, 
262,C154,Land survey technologists and technicians,NC, ,2254,Land survey technologists and technicians, 
263,C155,Mapping and related technologists and technicians,NU,*,2255,Technical occupations in geomatics and meteorology,Except meteorological technicians
265,C161,Non-destructive testers and inspectors,NC/T, ,2261,Non-destructive testers and inspection technicians, 
266,C162,Engineering inspectors and regulatory officers,NC, ,2262,Engineering inspectors and regulatory officers, 
267,C163,Inspectors in public and environmental health and occupational health and safety,NC, ,2263,Inspectors in public and environmental health and occupational health and safety, 
268,C164,Construction inspectors,NC, ,2264,Construction inspectors, 
270,C171,"Air pilots, flight engineers and flying instructors",NC, ,2271,"Air pilots, flight engineers and flying instructors", 
271,C172,Air traffic control and related occupations,NC/T, ,2272,Air traffic controllers and related occupations, 
272,C173,"Deck officers, water transport",NC, ,2273,"Deck officers, water transport", 
273,C174,"Engineer officers, water transport",NC, ,2274,"Engineer officers, water transport", 
274,C175,Railway traffic controllers and marine traffic regulators,NC, ,2275,Railway traffic controllers and marine traffic regulators, 
276,C181,Computer network technicians,NC, ,2281,Computer network technicians, 
277,C182,User support technicians,NC, ,2282,User support technicians, 
278,C183,Systems testing technicians,NC/T, ,2283,Information systems testing technicians, 
282,D011,Specialist physicians,NC, ,3111,Specialist physicians, 
283,D012,General practitioners and family physicians,NC, ,3112,General practitioners and family physicians, 
284,D013,Dentists,NC, ,3113,Dentists, 
285,D014,Veterinarians,NC, ,3114,Veterinarians, 
287,D021,Optometrists,NC, ,3121,Optometrists, 
288,D022,Chiropractors,NC, ,3122,Chiropractors, 
289,D023,Other professional occupations in health diagnosing and treating,NC, ,3125,Other professional occupations in health diagnosing and treating, 
291,D031,Pharmacists,NC, ,3131,Pharmacists, 
292,D032,Dietitians and nutritionists,NC, ,3132,Dietitians and nutritionists, 
294,D041,Audiologists and speech-language pathologists,NC, ,3141,Audiologists and speech-language pathologists, 
295,D042,Physiotherapists,NC, ,3142,Physiotherapists, 
296,D043,Occupational therapists,NC, ,3143,Occupational therapists, 
297,D044,Other professional occupations in therapy and assessment,NU,*,3144,Other professional occupations in therapy and assessment,Except kinesiologists and exercise physiologists and therapists
302,D111,Head nurses and supervisors,NC/T, ,3011,Nursing co-ordinators and supervisors, 
303,D112,Registered nurses,NU, ,3012,Registered nurses and registered psychiatric nurses, 
304,D112,Registered nurses,NU,*,3124,Allied primary health practitioners,Nurse practitioners
309,D211,Medical laboratory technologists and pathologists' assistants,NU, ,3211,Medical laboratory technologists, 
310,D211,Medical laboratory technologists and pathologists' assistants,NU,*,3212,Medical laboratory technicians and pathologists' assistants,Pathology assistants and morgue attendant supervisors
311,D212,Medical laboratory technicians,NU,*,3212,Medical laboratory technicians and pathologists' assistants,Except pathology assistants and morgue attendant supervisors
312,D213,Veterinary and animal health technologists and technicians,NC/T, ,3213,Animal health technologists and veterinary technicians, 
313,D214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",NC, ,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists", 
314,D215,Medical radiation technologists,NC, ,3215,Medical radiation technologists, 
315,D216,Medical sonographers,NC, ,3216,Medical sonographers, 
316,D217,Cardiology technologists,NU,*,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",Cardiology technologists
317,D218,"Electroencephalographic and other diagnostic technologists, n.e.c.",NU,*,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.","Electrophysiological diagnostic technologists, n.e.c."
318,D219,Other medical technologists and technicians (except dental health),NU,*,3219,Other medical technologists and technicians (except dental health),Except pharmacy technicians
320,D221,Denturists,NC, ,3221,Denturists, 
321,D222,Dental hygienists and dental therapists,NC, ,3222,Dental hygienists and dental therapists, 
322,D223,"Dental technologists, technicians and laboratory bench workers",NC/T, ,3223,"Dental technologists, technicians and laboratory assistants", 
326,D231,Opticians,NC, ,3231,Opticians, 
327,D232,Midwives and practitioners of natural healing,NU,*,3124,Allied primary health practitioners,Midwives
328,D232,Midwives and practitioners of natural healing,NU, ,3232,Practitioners of natural healing, 
329,D233,Licensed practical nurses,NC, ,3233,Licensed practical nurses, 
330,D234,Ambulance attendants and other paramedical occupations,NU, ,3234,Paramedical occupations, 
331,D234,Ambulance attendants and other paramedical occupations,NU,*,3413,"Nurse aides, orderlies and patient service associates",Emergency medical care assistants
332,D235,Other technical occupations in therapy and assessment,NU, ,3236,Massage therapists, 
333,D235,Other technical occupations in therapy and assessment,NU,*,3237,Other technical occupations in therapy and assessment,Except physiotherapy and occupational therapy assistants and technicians
339,D311,Dental assistants,NC, ,3411,Dental assistants, 
340,D312,"Nurse aides, orderlies and patient service associates",NU,*,3413,"Nurse aides, orderlies and patient service associates",Except emergency medical care assistants
341,D313,Other assisting occupations in support of health services,NU,*,3219,Other medical technologists and technicians (except dental health),Pharmacy technicians
342,D313,Other assisting occupations in support of health services,NU,*,3237,Other technical occupations in therapy and assessment,Physiotherapy and occupational therapy assistants and technicians
343,D313,Other assisting occupations in support of health services,NU, ,3414,Other assisting occupations in support of health services, 
354,E011,Judges,NC, ,4111,Judges, 
355,E012,Lawyers and Quebec notaries,NC, ,4112,Lawyers and Quebec notaries, 
357,E021,Psychologists,NC, ,4151,Psychologists, 
358,E022,Social workers,NC, ,4152,Social workers, 
359,E023,"Family, marriage and other related counsellors",NC, ,4153,"Family, marriage and other related counsellors", 
360,E024,Ministers of religion,NC/T, ,4154,Professional occupations in religion, 
361,E025,Probation and parole officers and related occupations,NC, ,4155,Probation and parole officers and related occupations, 
367,E031,"Natural and applied science policy researchers, consultants and program officers",NC, ,4161,"Natural and applied science policy researchers, consultants and program officers", 
368,E032,Economists and economic policy researchers and analysts,NC, ,4162,Economists and economic policy researchers and analysts, 
369,E033,Business development officers and marketing researchers and consultants,NU,*,1123,"Professional occupations in advertising, marketing and public relations",Marketing consultants —advertising
370,E033,Business development officers and marketing researchers and consultants,NU, ,4163,Business development officers and marketing researchers and consultants, 
371,E034,"Social policy researchers, consultants and program officers",NU,*,1254,Statistical officers and related research support occupations,Social science research assistants (except university)
372,E034,"Social policy researchers, consultants and program officers",NU, ,4164,"Social policy researchers, consultants and program officers", 
373,E035,"Education policy researchers, consultants and program officers",NC, ,4166,"Education policy researchers, consultants and program officers", 
374,E036,"Recreation, sports and fitness program supervisors and consultants",NU,*,3144,Other professional occupations in therapy and assessment,Kinesiologists and exercise physiologists and therapists
375,E036,"Recreation, sports and fitness program supervisors and consultants",NU, ,4167,"Recreation, sports and fitness policy researchers, consultants and program officers", 
