,noc_s2006_code,noc_2006_code,title
2,A011,0011,Legislators
3,A012,0012,Senior Government Managers and Officials
4,A013,0013,"Senior Managers - Financial, Communications and Other Business Services"
5,A014,0014,"Senior Managers - Health, Education, Social and Community Services and Membership Organizations"
6,A015,0015,"Senior Managers - Trade, Broadcasting and Other Services, n.e.c."
7,A016,0016,"Senior Managers - Goods Production, Utilities, Transportation and Construction"
9,A111,0111,Financial Managers
10,A112,0112,Human Resources Managers
11,A113,0113,Purchasing Managers
12,A114,0114,Other Administrative Services Managers
14,A121,0211,Engineering Managers
15,A122,0213,Computer and Information Systems Managers
16,A123,0212,Architecture and Science Managers
18,A131,0611,"Sales, Marketing and Advertising Managers"
20,A141,0721,Facility Operation and Maintenance Managers
22,A211,0621,Retail Trade Managers
24,A221,0631,Restaurant and Food Service Managers
25,A222,0632,Accommodation Service Managers
27,A301,0121,"Insurance, Real Estate and Financial Brokerage Managers"
28,A302,0122,"Banking, Credit and Other Investment Managers"
29,A303,0123,Other Business Services Managers
31,A311,0131,Telecommunication Carriers Managers
32,A312,0132,Postal and Courier Services Managers
34,A321,0311,Managers in Health Care
35,A322,0312,Administrators - Post-Secondary Education and Vocational Training
36,A323,0313,School Principals and Administrators of Elementary and Secondary Education
37,A324,0314,"Managers in Social, Community and Correctional Services"
39,A331,0411,Government Managers - Health and Social Policy Development and Program Administration
40,A332,0412,"Government Managers - Economic Analysis, Policy Development and Program Administration"
41,A333,0413,Government Managers - Education Policy Development and Program Administration
42,A334,0414,Other Managers in Public Administration
44,A341,0511,"Library, Archive, Museum and Art Gallery Managers"
45,A342,0512,"Managers - Publishing, Motion Pictures, Broadcasting and Performing Arts"
46,A343,0513,"Recreation, Sports and Fitness Program and Service Directors"
48,A351,0641,Commissioned Police Officers
49,A352,0642,Fire Chiefs and Senior Firefighting Officers
50,A353,0643,"Commissioned Officers, Armed Forces"
52,A361,0651,Other Services Managers
54,A371,0711,Construction Managers
55,A372,0712,Residential Home Builders and Renovators
56,A373,0713,Transportation Managers
58,A381,0811,Primary Production Managers (Except Agriculture)
60,A391,0911,Manufacturing Managers
61,A392,0912,Utilities Managers
63,B011,1111,Financial Auditors and Accountants
64,B012,1112,Financial and Investment Analysts
65,B013,1113,"Securities Agents, Investment Dealers and Brokers"
66,B014,1114,Other Financial Officers
68,B021,1121,Specialists in Human Resources
69,B022,1122,Professional Occupations in Business Services to Management
71,B111,1231,Bookkeepers
72,B112,1232,Loan Officers
73,B113,1233,Insurance Adjusters and Claims Examiners
74,B114,1234,Insurance Underwriters
75,B115,1235,"Assessors, Valuators and Appraisers"
76,B116,1236,"Customs, Ship and Other Brokers"
78,B211,1241,Secretaries (Except Legal and Medical)
79,B212,1242,Legal Secretaries
80,B213,1243,Medical Secretaries
81,B214,1244,Court Recorders and Medical Transcriptionists
83,B311,1221,Administrative Officers
84,B312,1222,Executive Assistants
85,B313,1223,Personnel and Recruitment Officers
86,B314,1224,Property Administrators
87,B315,1225,Purchasing Agents and Officers
88,B316,1226,Conference and Event Planners
89,B317,1227,Court Officers and Justices of the Peace
90,B318,1228,"Immigration, Employment Insurance and Revenue Officers"
92,B411,1211,"Supervisors, General Office and Administrative Support Clerks"
93,B412,1212,"Supervisors, Finance and Insurance Clerks"
94,B413,1213,"Supervisors, Library, Correspondence and Related Information Clerks"
95,B414,1214,"Supervisors, Mail and Message Distribution Occupations"
96,B415,1215,"Supervisors, Recording, Distributing and Scheduling Occupations"
98,B511,1411,General Office Clerks
99,B513,1413,Records Management and Filing Clerks
100,B514,1414,Receptionists and Switchboard Operators
102,B522,1422,Data Entry Clerks
103,B523,1423,Desktop Publishing Operators and Related Occupations
104,B524,1424,Telephone Operators
