,brent_chicago,brent_montreal,brent_sarnia,brent_sullom_voe_uk,cdn_heavy_chicago,cdn_heavy_hardisty,cdn_light_chicago,cdn_light_sweet,cdn_light_sweet_chicago,cdn_light_sweet_edmonton,cdn_par_chicago,cdn_par_edmonton,exchange_rate,implied_bitumen_hardisty,mixed_sweet_blend_edmonton,synthetic_edmonton,western_canada_select_chicago,western_canada_select_hardisty,wti_chicago,wti_cushing,wti_nymex_chicago
2014-01-01,,,,,460.0,431.0,,,,,652.69,627.24,1.0636,,,,,,,,
2014-01-02,752.74,746.65,766.8,,485.0,456.0,,,,,635.68,610.24,1.0633,,,,,,,,647.98
2014-01-03,658.99,741.17,761.33,,484.97,456.0,,,,,635.66,610.24,1.0614,,,,,,,,636.94
2014-01-04,,,,,479.97,451.0,,,,,652.66,627.24,1.0614,,,,,,,,
2014-01-05,,,,,479.97,451.0,,,,,652.66,627.24,1.0614,,,,,,,,
2014-01-06,747.4,743.24,763.4,,480.53,451.5,,,,,635.71,610.24,1.0659,,,,,,,,636.09
2014-01-07,757.41,753.21,773.37,,480.64,451.5,,,,,584.31,558.74,1.0742,,,,,,,,642.66
2014-01-08,760.42,756.2,776.35,,479.72,450.5,,,,,584.38,558.74,1.0804,,,,,,,,637.26
2014-01-09,758.55,754.3,774.45,,460.78,431.5,,,,,548.43,522.74,1.0851,,,,,,,,635.46
2014-01-10,769.55,764.79,784.94,,460.87,431.5,,,,,548.51,522.74,1.0917,,,,,,,,646.61
2014-01-11,,,,,468.37,439.0,,,,,550.01,524.24,1.0917,,,,,,,,
2014-01-12,,,,,468.37,439.0,,,,,550.01,524.24,1.0917,,,,,,,,
2014-01-13,762.74,758.01,778.16,,460.3,431.0,,,,,548.45,522.74,1.0869,,,,,,,,637.47
2014-01-14,764.83,760.06,780.22,,460.89,431.5,,,,,549.02,523.24,1.0934,,,,,,,,646.72
2014-01-15,769.85,765.08,785.24,,471.39,442.0,,,,,560.02,534.24,1.0933,,,,,,,,657.53
2014-01-16,759.87,755.11,775.26,,471.38,442.0,,,,,560.02,534.24,1.0926,,,,,,,,655.66
2014-01-17,767.82,764.42,784.58,,474.92,445.5,,,,,560.05,534.24,1.0961,,,,,,,,660.59
2014-01-18,,,,,475.42,446.0,,,,,551.05,525.24,1.0961,,,,,,,,
2014-01-19,,,,,475.42,446.0,,,,,551.05,525.24,1.0961,,,,,,,,
2014-01-20,,,,,474.92,445.5,,,,,560.06,534.24,1.0962,,,,,,,,
2014-01-21,770.32,766.91,787.07,,477.44,448.0,,,,,572.57,546.74,1.0972,,,,,,,,665.39
2014-01-22,787.85,784.41,804.56,,481.06,451.5,,,,,572.68,546.74,1.1069,,,,,,,,683.53
2014-01-23,787.36,783.9,804.05,,502.64,473.0,,,,,591.25,565.24,1.113,,,,,,,,687.29
